customer_id,customer_name,city,age,product,quantity,price,total_amount
1054,Sneha,Delhi,51,Laptop,2,7900.0,15800.0
1055,Krishna,Bengaluru,28,Tablet,2,24966.0,49932.0
1056,Sara,Nagpur,54,Mouse,5,37439.0,187195.0
1057,Ishaan,Indore,38,Keyboard,4,4860.0,19440.0
1058,Sneha,Hyderabad,35,Phone,2,35770.0,71540.0
1059,Aditya,Jaipur,22,Phone,4,17601.0,70404.0
1060,Priya,Hyderabad,39,Tablet,2,32807.0,65614.0
1061,Rahul,Pune,43,Phone,2,5986.0,11972.0
1062,Vihaan,Pune,52,Laptop,3,8835.0,26505.0
1063,Rohan,Jaipur,43,Keyboard,2,21864.0,43728.0
1064,Ishaan,Jaipur,30,Headphones,1,37759.0,37759.0
1065,Vihaan,Nagpur,27,Phone,5,24076.0,120380.0
1066,Vivaan,Jaipur,55,Laptop,5,32167.0,160835.0
1067,Sai,Nashik,57,Headphones,4,11630.0,46520.0
1068,Meera,Hyderabad,59,Keyboard,2,22472.0,44944.0
1069,Diya,Bengaluru,39,Headphones,1,40919.0,40919.0
1070,Vihaan,Chennai,54,Laptop,4,1667.0,6668.0
1071,Meera,Jaipur,44,Mouse,3,27692.0,83076.0
1072,Rohan,Delhi,54,Mouse,4,1562.0,6248.0
1073,Sara,Pune,44,Headphones,4,19040.0,76160.0
1074,Vivaan,Nashik,48,Tablet,2,24744.0,49488.0
1075,Diya,Indore,37,Headphones,3,22045.0,66135.0
1076,Vihaan,Chennai,37,Phone,4,22189.0,88756.0
1077,Priya,Bengaluru,21,Phone,1,11674.0,11674.0
1078,Pooja,Chennai,54,Mouse,1,23425.0,23425.0
1079,Sneha,Jaipur,35,Tablet,5,37997.0,189985.0
1080,Ishaan,Nagpur,55,Laptop,3,9848.0,29544.0
1081,Priya,Pune,52,Phone,3,24214.0,72642.0
1082,Nikhil,Pune,23,Mouse,5,38602.0,193010.0
1083,Ishaan,Indore,52,Keyboard,4,9424.0,37696.0
1084,Neha,Nagpur,33,Mouse,3,37598.0,112794.0
1085,Pooja,Hyderabad,40,Phone,1,24894.0,24894.0
1086,Riya,Mumbai,39,Phone,1,7301.0,7301.0
1087,Rohan,Nashik,27,Mouse,2,38114.0,76228.0
1088,Sneha,Pune,26,Laptop,3,7231.0,21693.0
1089,Neha,Delhi,22,Headphones,4,48636.0,194544.0
1090,Kiran,Pune,36,Phone,5,24125.0,120625.0
1091,Riya,Chennai,52,Mouse,5,17837.0,89185.0
1092,Ananya,Pune,31,Mouse,4,35807.0,143228.0
1093,Sneha,Pune,41,Tablet,2,7556.0,15112.0
1094,Riya,Mumbai,41,Headphones,5,12016.0,60080.0
1095,Aarav,Mumbai,49,Keyboard,3,44761.0,134283.0
1096,Krishna,Bengaluru,57,Laptop,2,2042.0,4084.0
1097,Ananya,Hyderabad,57,Keyboard,3,22177.0,66531.0
1098,Kiran,Delhi,27,Headphones,1,47232.0,47232.0
1099,Aarav,Pune,46,Headphones,2,39581.0,79162.0
1100,Sara,Pune,46,Headphones,5,28069.0,140345.0
